alias,segment,source_type,buyer_hypothesis,failure_hypothesis,data_hypothesis,proof_hypothesis,budget_hypothesis,warm_intro_path,pain_25,owner_20,data_access_20,proof_15,paid_intent_15,boundary_fit_5,total_score,score_confidence,decision,next_step,notes
SaaS-01,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-02,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-03,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-04,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-05,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-06,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-07,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-08,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-09,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SaaS-10,B2B SaaS / enterprise software,,,,,,,,,,,,,,,,enrich,,
SI-01,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
SI-02,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
SI-03,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
SI-04,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
SI-05,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
SI-06,AI services / SI / consulting delivery,,,,,,,,,,,,,,,,enrich,,
Digital-01,high-ACV traditional digitalization team,,,,,,,,,,,,,,,,enrich,,
Digital-02,high-ACV traditional digitalization team,,,,,,,,,,,,,,,,enrich,,
Digital-03,high-ACV traditional digitalization team,,,,,,,,,,,,,,,,enrich,,
Digital-04,high-ACV traditional digitalization team,,,,,,,,,,,,,,,,enrich,,
